7 4 3	..DG....DGB.AADGB.....B.E.CC..E...FF G98 B98 C99 F98 
7 4 3	........DG..AADGB...DGB.ECC.B.E...FF D99 G99 B99 F98 
7 4 3	..DG....DGB.AADGB.....B.E..CC.E..FF. G98 B98 C98 F99 
7 4 3	...G....DGB.AADGB...D.B.ECC...E...FF D99 G98 B98 F98 
7 5 2	........D.B.AAD.B...DGB.ECCG..E..GFF D99 B96 G99 F98 
7 5 2	..D.....D.B.AAD.B....GB.E..GCCEFFG.. G95 B98 C97 F99 
7 4 3	..D.....DGB.AADGB....GB.E..CC.E...FF G99 B98 C98 F98 
7 4 3	..DG....DGB.AADGB.....B.E...CCE..FF. G98 B98 C97 F99 
7 4 3	..D.....DGB.AADGB....GB.E.CC..E...FF G99 B98 C99 F98 
7 5 2	...G.....GB.AA.GB...D.B.E.DCC.E.DFF. D97 G98 B98 C98 F99 
7 4 3	..D.....DGB.AADGB.E..GB.ECC.......FF G99 B98 E99 F98 
7 4 3	..D.....DGB.AADGB....GB.E..CC.EFF... G99 B98 C98 F99 
7 4 3	........DGB.AADGB...DGB.ECC...E...FF D99 G99 B98 F98 
7 4 3	...GB...DGB.AADGB...D...ECC...E..FF. D99 B97 G98 F99 
7 4 3	..DG....DGB.AADGB.E...B.E..CC...FF.. G98 B98 E99 C98 
7 4 3	...G.....GB.AADGB...D.B.E.DCC.E.FF.. D98 G98 B98 C98 
7 4 3	..DGB...DGB.AADGB.......E...CCE..FF. G98 B97 C97 F99 
7 4 3	.........GB.AADGB...DGB.E.DCC.E.FF.. D98 G99 B98 C98 
7 4 3	....B...DGB.AADGB...DG..ECC...E..FF. D99 B97 G99 F99 
7 4 3	....B...D.B.AADGB.E.DG..ECCG......FF D99 B97 E99 F98 
7 4 3	..D.....D.B.AADGB....GB.ECCG..E...FF G96 B98 F98 
7 4 3	..D.B...DGB.AADGB....G..E.CC..E..FF. G99 B97 C99 F99 
7 4 3	..DGB...DGB.AADGB.E.....ECC......FF. G98 B97 E99 F99 
7 4 3	...G....DGB.AADGB...D.B.E..CC.E.FF.. D99 G98 B98 C98 
7 4 3	..D.....D.B.AADGB....GB.E..GCCE.FF.. G96 B98 C97 
7 4 3	..DGB...DGB.AADGB.E.....E...CC..FF.. G98 B97 E99 C97 
7 5 2	...GB....GB.AA.GB...D...E.D.CCE.DFF. D97 G98 B97 C97 F99 
7 4 3	..DGB...DGB.AADGB.E.....E..CC...FF.. G98 B97 E99 C98 
7 4 3	..DG....DGB.AADGB.E...B.E...CC..FF.. G98 B98 E99 C97 
7 4 3	...G....DG..AADGB...D.B.E.CCB.E.FF.. D99 G98 B99 C99 
7 5 2	.........GB.AA.GB...DGB.E.DCC.E.D.FF D97 G99 B98 C98 F98 
7 4 3	..DG....DG..AADGB.E...B.E.CCB...FF.. G98 B99 E99 C99 
7 4 3	...GB....GB.AADGB...D...E.D.CCE.FF.. D98 G98 B97 C97 
7 4 3	...G.....GB.AADGB...D.B.E.D.CCE.FF.. D98 G98 B98 C97 
7 4 3	..D.....DGB.AADGB.E..GB.E..CC...FF.. G99 B98 E99 C98 
7 4 3	..DGB...DGB.AADGB.E.....ECC....FF... G98 B97 E99 F99 
7 4 3	..DG....DGB.AADGB.E...B.ECC....FF... G98 B98 E99 F99 
7 4 3	...GB...DGB.AADGB...D...E...CCE.FF.. D99 G98 B97 C97 
7 4 3	..DG....DG..AADGB.E...B.ECC.B..FF... G98 B99 E99 F99 
7 4 3	........DGB.AADGB...DGB.ECC...EFF... D99 G99 B98 F99 
7 4 3	...G....DGB.AADGB...D.B.E...CCE.FF.. D99 G98 B98 C97 
7 4 3	..D.....DGB.AADGB.E..GB.E...CC..FF.. G99 B98 E99 C97 
7 4 3	........DG..AADGB...DGB.ECC.B.EFF... D99 G99 B99 F99 
7 4 3	...GB...DGB.AADGB...D...ECC...EFF... D99 G98 B97 F99 
7 4 3	..D.....DGB.AADGB.E..GB.ECC......FF. G99 B98 E99 F99 
7 4 3	...G....DGB.AADGB...D.B.ECC...EFF... D99 G98 B98 F99 
7 5 2	....B....GB.AA.GB...DG..E.D.CCE.DFF. D97 B97 G99 C97 F99 
7 4 3	...G....DG..AADGB...D.B.ECC.B.EFF... D99 G98 B99 F99 
7 4 3	..DG....DGB.AADGB.....B.E.CC..E..FF. G98 B98 C99 F99 
7 4 3	...G....DG..AADGB...D.B.ECC.B.E...FF D99 G98 B99 F98 
7 4 3	..DG....DGB.AADGB.....B.E.CC..EFF... G98 B98 C99 F99 
7 5 2	...G.....GB.AA.GB...D.B.E.D.CCE.DFF. D97 G98 B98 C97 F99 
7 4 3	.........GB.AADGB...DGB.E.D.CCE.FF.. D98 G99 B98 C97 
7 4 3	..DGB...DGB.AADGB.......E.CC..E..FF. G98 B97 C99 F99 
7 4 3	..DG....DGB.AADGB.E...B.ECC......FF. G98 B98 E99 F99 
7 4 3	..D.....DGB.AADGB.E..GB.ECC....FF... G99 B98 E99 F99 
7 4 3	..D.....DG..AADGB.E..GB.ECC.B..FF... G99 B99 E99 F99 
7 4 3	....B...DGB.AADGB...DG..ECC...EFF... D99 G99 B97 F99 
7 4 3	..D.....DG..AADGB.E..GB.ECC.B....FF. G99 B99 E99 F99 
7 5 2	........D.B.AAD.B.E.DGB.ECCG..FF.G.. D99 G99 B98 E99 F98 
7 5 2	........D...AAD.B.E.DGB.ECCGB.FF.G.. D99 G99 B99 E99 F98 
7 4 3	..D.....DG..AADGB....GB.E.CCB.E.FF.. G97 B99 C99 
7 4 3	..D.....DG..AADGB.E..GB.E.CCB...FF.. G99 B99 E99 C99 
7 4 3	..DGB...DGB.AADGB.E.....E.CC....FF.. G98 B97 E99 C99 
7 4 3	..DGB...DGB.AADGB.......E.CC..EFF... G98 B97 C99 F99 
