9 0 9	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
21 15 6	HJJJ.SHIFFPS.IAAPUB.NDPUB.NDLOGGNDLO J99 P99 F98 H98 A97 D99 N98 L99 B99 I97 G97 
21 12 9	HJJJ.SH.FFPSAAN.PUBINDPUBINDLOGG.DLO J99 P99 F98 H98 A99 D99 N99 L99 B99 I99 G97 
21 12 9	HJJJPSHFF.PSBAADPUBIND.U.INDLOGGN.LO J99 F99 H98 A98 N98 L99 B98 I99 G97 
19 13 6	HJJJPSHFF.PSBAA.PUBIND.U.INDLOGGNDLO J99 F99 H98 A98 D99 N98 L99 B98 I99 G97 
20 14 6	HJJJPSHFF.PSB.AAPUBIND.U.INDLOGGNDLO J99 F99 H98 A97 D99 N98 L99 B98 I99 G97 
20 14 6	HJJJPSHFF.PSBAA.PUBINDLU.INDLOGGND.O J99 F99 H98 A98 D99 N98 L98 B98 I99 G97 
21 15 6	HJJJPSHFF.PS.IAAPUBIND.UB.NDLOGGNDLO J99 F97 H98 A97 D99 N98 L99 B99 I98 G97 
21 9 12	HJJJ.SH.FFPSAANDPU.INDPUBINDLOB.GGLO J99 P99 F98 H98 A99 N99 L99 I99 G99 
21 9 12	HJJJPSHFFDPSAANDPUBINDLUBIN.LOGG...O J99 F99 H98 A99 D99 N99 B99 I99 G97 
19 10 9	HJJJPSHFFDPSAA.DPUBINDLUBIN.LOGGN..O J99 F99 H98 A99 D99 N98 B99 I99 G97 
20 11 9	HJJJPSHFFDPSAA.DPUBIND.UBIN.LOGGN.LO J99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
21 15 6	HJJJPSHFF.PSBIAAPUBIND.U..NDLOGGNDLO J99 F99 H98 A97 D99 N98 L99 B98 I98 G97 
21 9 12	HJJJPSH.FFPSAANDPUBIND.UBINDLO..GGLO J99 F98 H98 A99 N99 L99 B99 I99 G99 
21 15 6	HJJJPSHFF.PSB.AAPUBIND.U.INDLOGGNDLO J99 F97 H98 A97 D99 N98 L99 B98 I99 G97 
21 15 6	HJJJ.SHFF.PSB.AAPUBINDPU.INDLOGGNDLO J99 P99 F99 H98 A97 D99 N98 L99 B98 I99 G97 
21 9 12	HJJJPSHFFDPSAANDPUBINDLUBIN.LO..GG.O J99 F99 H98 A99 D99 N99 B99 I99 G99 
21 9 12	HJJJPSH.FFPSAANDPUBIND.UBINDLO.GG.LO J99 F98 H98 A99 N99 L99 B99 I99 G98 
19 10 9	HJJJPSH.FFPSAAN.PUBIND.UBINDLO.GGDLO J99 F98 H98 A99 D99 N99 L99 B99 I99 G98 
20 11 9	HJJJ.SH.FFPSAAN.PUBINDPUBINDLO.GGDLO J99 P99 F98 H98 A99 D99 N99 L99 B99 I99 G98 
21 9 12	HJJJPSHFFDPSAANDPUB.ND.UBIN.LO.IGGLO J99 F99 H98 A99 D99 N99 L99 B99 G99 
21 9 12	HJJJ.SHFF.PSAANDPUB.NDPUBINDLO.IGGLO J99 P99 F99 H98 A99 N99 L99 B99 G99 
21 12 9	H.JJJSH.FFPSAAN.PUBINDPUBINDLO.GGDLO J98 P99 F98 H98 A99 D99 N99 L99 B99 I99 G98 
21 9 12	H.JJJSHFF.PSAANDPU..NDPUBINDLOBIGGLO J98 P99 F99 H98 A99 N99 L99 G99 
21 15 6	HJJJ.SHFF.PS..AAPUBINDPUBINDLOGGNDLO J99 P99 F97 H98 A97 D99 N98 L99 B99 I99 G97 
21 9 12	HJJJPSHFF.PSAANDPUBINDLUBINDLO.GG..O J99 F99 H98 A99 N99 B99 I99 G96 
21 9 12	HJJJPSHFF.PSAANDPUBINDLUBINDLO..GG.O J99 F99 H98 A99 N99 B99 I99 G95 
21 12 9	HJJJ.SHFF.PSAAN.PUBINDPUBINDLO.GGDLO J99 P99 F97 H98 A99 D99 N99 L99 B99 I99 G98 
21 15 6	.JJJPSHFF.PSH.AAPUBIND.UBINDLOGGNDLO H97 J99 F97 A97 B99 I99 N98 D99 L99 G97 
21 12 9	HJJJPSH.FFPS.AADPUBIND.UBINDLOGGN.LO J99 F98 H98 A98 N98 L99 B99 I99 G97 
21 9 12	HJJJPSHFF.PSAANDPUBIND.UBINDLO..GGLO J99 F99 H98 A99 N99 L99 B99 I99 G99 
21 9 12	HJJJ.SHFF.PSAANDPU.INDPUBINDLOBGG.LO J99 P99 F99 H98 A99 N99 L99 I99 G98 
21 15 6	.JJJ.SH.FFPSH.AAPUBINDPUBINDLOGGNDLO H97 J99 F98 P99 A97 B99 I99 N98 D99 L99 G97 
21 15 6	H.JJJSH.FFPS..AAPUBINDPUBINDLOGGNDLO J98 P99 F98 H98 A97 D99 N98 L99 B99 I99 G97 
21 12 9	HJJJPSHFF.PSAAN.PUBIND.UBINDLOGG.DLO J99 F97 H98 A99 D99 N99 L99 B99 I99 G97 
21 15 6	H.JJJSHFF.PSAA..PUBINDPUBINDLOGGNDLO J98 P99 F97 H98 A99 D99 N98 L99 B99 I99 G97 
21 9 12	HJJJPSHFFDPSAANDPUBINDLUBIN.LO.GG..O J99 F99 H98 A99 D99 N99 B99 I99 G98 
21 9 12	HJJJ.SHFFDPSAANDPU..NDPUBIN.LOBIGGLO J99 P99 F99 H98 A99 D99 N99 L99 G99 
21 15 6	HJJJ.SHFF.PS.AA.PUBINDPUBINDLOGGNDLO J99 P99 F97 H98 A98 D99 N98 L99 B99 I99 G97 
21 15 6	H.JJJSH.FFPS.AA.PUBINDPUBINDLOGGNDLO J98 P99 F98 H98 A98 D99 N98 L99 B99 I99 G97 
21 15 6	JJJ.PSHIFFPSHIAAPUB.NDLUB.NDLOGGND.O J98 H97 I97 F98 A97 B99 N98 D99 G97 
21 12 9	HJJJ.SH.FFPSAAN.PU.INDPUBINDLOBGGDLO J99 P99 F96 H98 A99 D99 N99 L99 I99 G98 
21 9 12	HJJJPSHFFDPSAANDPU.IND.UBIN.LOBGG.LO J99 F99 H98 A99 D99 N99 L99 I99 G98 
21 15 6	JJJ.PSH.FFPSHIAAPUBINDLUB.NDLOGGND.O J98 H97 F98 I98 A97 B99 N98 D99 G97 
21 15 6	.JJJPSH.FFPSHIAAPUBIND.UB.NDLOGGNDLO H97 J99 F98 I98 A97 B99 N98 D99 L99 G97 
21 9 12	HJJJ.SH.FFPSAANDPUB.NDPUBINDLO.IGGLO J99 P99 F98 H98 A99 N99 L99 B99 G99 
21 9 12	HJJJPSHFFDPSAANDPU.IND.UBIN.LOBGG.LO J99 F99 H98 A99 D99 N99 L99 I99 G98 
21 15 6	HJJJPSHFF.PSBAA.PUBINDLU.INDLOGGND.O J99 F97 H98 A96 D99 N98 B98 I99 G97 
21 9 12	H.JJJSH.FFPSAANDPU..NDPUBINDLOBIGGLO J98 P99 F98 H98 A99 N99 L99 G99 
21 15 6	.JJJPSHFF.PSHIAAPUBINDLUB.NDLOGGND.O H97 J99 F97 I98 A97 B99 N98 D99 G97 
21 15 6	HJJJ.SH.FFPSBAA.PUBINDPU.INDLOGGNDLO J99 P99 F98 H98 A98 D99 N98 L99 B98 I99 G97 
21 15 6	HJJJPSHFF.PSBAA.PUBIND.U.INDLOGGNDLO J99 F97 H98 A98 D99 N98 L99 B98 I99 G97 
21 9 12	HJJJPSH.FFPSAANDPUBIND.UBINDLOGG..LO J99 F98 H98 A99 N99 L99 B99 I99 G97 
19 10 9	HJJJPSH.FFPSAA.DPUBIND.UBINDLOGGN.LO J99 F98 H98 A99 N98 L99 B99 I99 G97 
20 11 9	HJJJ.SH.FFPSAA.DPUBINDPUBINDLOGGN.LO J99 P99 F98 H98 A99 N98 L99 B99 I99 G97 
21 12 9	H.JJJSH.FFPSAA.DPUBINDPUBINDLOGGN.LO J98 P99 F98 H98 A99 N98 L99 B99 I99 G97 
21 15 6	JJJ.PSHFF.PSH.AAPUBINDLUBINDLOGGND.O J98 H97 F97 A97 B99 I99 N98 D99 G97 
