7 5 2	..HHDYC.R.DYCFRAAECF...E...ITTBB.IPP C99 H99 D98 R97 A99 
7 3 4	C..HHYC....YC.AADE.FR.DE.FRITTBB.IPP H98 F99 R99 
7 5 2	..HHDY.F..DYCFAA.EC.R..EC.RITTBB.IPP C98 H99 D98 F99 R99 
7 3 4	...HHYC....YCFAADECFR.DE..RITTBB.IPP C99 H98 R99 
7 5 2	C.HHDYCF..DYCFAA.E...I.E..RITTBBR.PP H99 F99 D98 I99 
7 5 2	C.HHDYC...DYC.AA.E.F.I.E.FRITTBBRPP. H99 F99 D98 I99 P99 
7 5 2	C.HHDYC...DYCF.AAE.F.I.E..RITTBBRPP. H99 A99 D98 I99 P99 
7 5 2	..HHDY.F..DYCF.AAEC....EC.RITTBBRIPP C98 H99 D98 F99 A99 
7 5 2	..HHDY....DYCFAA.ECF...EC.RITTBBRIPP C98 H99 D98 F98 
7 5 2	CHH.DYC.R.DYCFRAAE.F.I.E...ITTBBPP.. A99 D98 R97 I99 P98 
7 5 2	.HH.DY.F..DYCFAA.EC.RI.EC.RITTBB..PP C98 D98 F99 R99 I99 
7 5 2	.HH.DYCFR.DYCFRAAEC....E...ITTBB.IPP C99 D98 F99 R97 A99 
7 3 4	...HHY.....YCFAADECF..DEC.RITTBBRIPP C98 H98 
7 5 2	CHH.DYC.R.DYCFRAAE.F.I.E...ITTBB.PP. A99 D98 R97 I99 P99 
7 5 2	CHH.DYC.R.DYCFRAAE.F.I.E...ITT..BBPP A99 D98 R97 I99 B98 
7 4 3	.HH..YCF..DYCFAADEC.R..E..RITTBB.IPP C99 F99 D99 R99 
7 5 2	CHH.DYC.R.DYCFRAAE.F.I.E...ITT.BB.PP A99 D98 R97 I99 B99 
7 5 2	C.HHDYC.R.DYCFRAAE.F.I.E...ITTBB..PP H99 A99 D98 R97 I99 
7 5 2	CHH.DYC.R.DYC.RAAE.F.I.E.F.ITTBB..PP F99 A99 D98 R97 I99 
7 4 3	CFHH.YCF..DYC.AADE.....E..RITTBBRIPP H99 F98 D97 
7 3 4	C..HHYC...DYCFAADE.F.I.E..RITTBBR.PP H98 D99 I99 
7 3 4	C.HH.YC....YCAA.DE.F..DE.FRITTBBRIPP H99 F99 A99 
6 4 2	C.HHDYC...DYCAA..E.F...E.FRITTBBRIPP H99 F99 A99 D98 
7 5 2	CHH.DYC...DYC.RAAE.FR..E.F.ITTBB.IPP F97 A99 D98 R98 
7 3 4	.HH..Y.....Y.FAADECFR.DEC.RITTCBBIPP C97 R99 B99 
7 3 4	.HH..YC....YCFAADECFR.DE..RITT.BBIPP C99 R99 B99 
7 5 2	.FHHDYCF..DYC.AA.EC.R..E..RITTBB.IPP C99 F98 H99 D98 R99 
7 5 2	.HH.DYC...DYC.RAAECFR..E.F.ITTBB.IPP C99 D98 A99 F99 R98 
7 5 2	.HH.DYC...DYCF.AAECF...E..RITTBBRIPP C99 D98 A99 F98 
7 5 2	C.HHDYCF..DYCFRAAE..R..E...ITTBB.IPP H99 F99 A99 D98 R98 
7 5 2	.HH.DYC...DYCAA..ECF...E.FRITTBBRIPP C99 D98 A97 F99 
7 5 2	HH..DYC...DYC..AAECF...E.FRITTBBRIPP H99 D98 C99 A99 F99 
7 5 2	.HH.DYCF..DYCFRAAEC.R..E...ITTBB.IPP C99 D98 F99 R98 A99 
7 3 4	C.HH.YC....YCFAADE.FR.DE..RITT.BBIPP H99 R99 B99 
7 3 4	..HH.YC....YC.AADECF..DE.FRITTBBRIPP C99 H99 F99 
7 4 3	..HH.Y....DYC.AADECF...ECFRITTBBRIPP C98 H99 D99 F99 
7 5 2	.HH.DY....DYC.AA.ECFRI.ECFRITTBB..PP C98 D98 F99 R99 I99 
7 5 2	HH..DYC...DYCF.AAECF...E..RITTBBRIPP H99 D98 C97 A99 
7 5 2	.HH.DYC...DYCAA..ECF.I.E.FRITTBBR.PP C99 D98 A99 F99 I99 
7 5 2	.HH.DY....DYC..AAECFR..ECFRITTBB.IPP C98 D98 F99 A99 R99 
7 3 4	C.HH.YC....YCFAADE.FRIDE..RITTBB..PP H99 R99 I99 
7 5 2	HH..DYC...DYC.AA.ECF.I.E.FRITTBBR.PP H99 D98 C99 F99 I99 
7 5 2	.HH.DY....DYCAA..ECFR..ECFRITTBB.IPP C98 D98 F99 A99 R99 
7 5 2	.HH.DY....DYCAA..ECF.I.ECFRITTBBR.PP C98 D98 A99 F99 I99 
7 5 2	HH..DY....DYC.AA.ECF.I.ECFRITTBBR.PP H99 D98 C98 F99 I99 
