6 0 6	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
16 8 8	HJJJPSH.N.PSAANDPUBIND.UBI.DLO..GGLO J99 H98 A99 N98 L99 B99 I99 G99 
16 10 6	HJJJPSH.N.PSAAN.PUBIND.UBI.DLOGG.DLO J99 H98 A99 D99 N98 L99 B99 I99 G97 
16 8 8	HJJJPSH..DPSAANDPUBINDLUBIN.LO..GG.O J99 H98 A99 D99 N99 B99 I99 G99 
16 8 8	H.JJJSH.N.PSAANDPU..NDPUBI.DLOBIGGLO J98 P99 H98 A99 N98 L99 G99 
16 12 4	JJJ.PSH...PSHAA.PUBINDLUBINDLOGGND.O J98 H97 A98 B99 I99 N98 D99 G97 
16 8 8	HJJJ.SH.N.PSAANDPU.INDPUBI.DLOB.GGLO J99 P99 H98 A99 N98 L99 I99 G99 
16 9 7	HJJJ.SH.N.PSAANDPU.INDPUBI.DLOBGG.LO J99 P99 H98 A99 N98 L99 I99 G98 
16 8 8	HJJJ.SH.NDPSAANDPU..NDPUBI..LOBIGGLO J99 P99 H98 A99 D99 N98 L99 G99 
16 8 8	HJJJ.SH.N.PSAANDPUB.NDPUBI.DLO.IGGLO J99 P99 H98 A99 N98 L99 B99 G99 
16 11 5	H.JJJSH...PSAAN.PUBINDPUBINDLOGG.DLO J98 P99 H98 A99 D99 N99 L99 B99 I99 G97 
16 11 5	JJJ.PSH...PSHAADPUBINDLUBINDLOGGN..O J98 H97 A98 B99 I99 N98 G97 
16 12 4	.JJJPSHI..PSHIAAPUB.NDLUB.NDLOGGND.O H97 J99 I97 A97 B99 N98 D99 G97 
16 8 8	HJJJPSH.NDPSAANDPU.IND.UBI..LOB.GGLO J99 H98 A99 D99 N98 L99 I99 G99 
16 12 4	HJJJPSHI..PSBIAAPUB.NDLU..NDLOGGND.O J99 H98 A97 D99 N98 B98 I97 G97 
16 12 4	HJJJPSH...PSBIAAPUBINDLU..NDLOGGND.O J99 H98 A97 D99 N98 B98 I98 G97 
16 12 4	.JJJPSH...PSHIAAPUBINDLUB.NDLOGGND.O H97 J99 I98 A97 B99 N98 D99 G97 
16 9 7	HJJJPSH..DPSAANDPUBIND.UBIN.LOGG..LO J99 H98 A99 D99 N99 L99 B99 I99 G97 
16 12 4	JJJ.PSH...PSH.AAPUBINDLUBINDLOGGND.O J98 H97 A97 B99 I99 N98 D99 G97 
16 8 8	HJJJ.SH..DPSAANDPU..NDPUBIN.LOBIGGLO J99 P99 H98 A99 D99 N99 L99 G99 
16 10 6	H.JJJSH...PSAANDPUBINDPUBINDLOGG..LO J98 P99 H98 A99 N99 L99 B99 I99 G97 
16 9 7	HJJJPSH.N.PSAANDPUBIND.UBI.DLOGG..LO J99 H98 A99 N98 L99 B99 I99 G97 
