6 6 0	YY...TGGGBSTAA.BS.F..C..F..CPPF..CDD Y96 B99 A99 T98 C99 D98 
6 6 0	...YY.GGGBSTFAABSTF..C..F..CPP.DDC.. Y99 B99 T99 F99 C99 D99 
6 6 0	..YY..GGGBSTFAABSTF..C..F..CPP.DDC.. Y98 B99 T99 F99 C99 D99 
6 6 0	.YY...GGGBSTFAABSTF..C..F..CPP.DDC.. Y97 B99 T99 F99 C99 D99 
6 6 0	YY....GGGBSTFAABSTF..C..F..CPP.DDC.. Y96 B99 T99 F99 C99 D99 
6 6 0	...YY.GGGBSTFAABSTF..C..F..CPPDD.C.. Y99 B99 T99 F99 C99 D98 
6 6 0	..YY..GGGBSTFAABSTF..C..F..CPPDD.C.. Y98 B99 T99 F99 C99 D98 
6 6 0	.YY...GGGBSTFAABSTF..C..F..CPPDD.C.. Y97 B99 T99 F99 C99 D98 
6 6 0	YY....GGGBSTFAABSTF..C..F..CPPDD.C.. Y96 B99 T99 F99 C99 D98 
6 6 0	...YY.GGGBSTFAABSTF..C..F..CPP...CDD Y99 B99 T99 F99 C99 D98 
6 6 0	..YY..GGGBSTFAABSTF..C..F..CPP...CDD Y98 B99 T99 F99 C99 D98 
6 6 0	.YY...GGGBSTFAABSTF..C..F..CPP...CDD Y97 B99 T99 F99 C99 D98 
6 6 0	YY....GGGBSTFAABSTF..C..F..CPP...CDD Y96 B99 T99 F99 C99 D98 
6 6 0	..YYS.GGGBST.AAB.TF..C..F..CPPFDDC.. Y98 B99 S99 T99 C99 D99 
6 6 0	.YYB..GGGBST.AA.STF..C..F..CPPFDDC.. Y97 B98 T99 C99 D99 
6 6 0	.YY.S.GGGBST.AAB.TF..C..F..CPPFDDC.. Y97 B99 S99 T99 C99 D99 
6 6 0	YY.B..GGGBST.AA.STF..C..F..CPPFDDC.. Y96 B98 T99 C99 D99 
6 6 0	YY..S.GGGBST.AAB.TF..C..F..CPPFDDC.. Y96 B99 S99 T99 C99 D99 
6 6 0	..YYS.GGGBST.AAB.TF..C..F..CPPF..CDD Y98 B99 S99 T99 C99 D98 
6 6 0	.YYB..GGGBST.AA.STF..C..F..CPPF..CDD Y97 B98 T99 C99 D98 
