0 0 0	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
11 11 0	H.JJJSHFF.PSAANDPUBINDPUBINDLO..GGLO J98 P99 F99 H98 A99 N99 L99 B99 I99 G99 
11 11 0	HJJJ.SHFF.PSAAN.PUBINDPUBINDLO.GGDLO J99 P99 F99 H98 A99 D99 N99 L99 B99 I99 G98 
11 11 0	H.JJJSHFF.PSAANDPUBINDPUBINDLO.GG.LO J98 P99 F99 H98 A99 N99 L99 B99 I99 G98 
11 11 0	.JJJPSHFF.PSHAADPUBINDLUBINDLOGGN..O H97 J99 F99 A98 B99 I99 N98 G97 
11 11 0	HJJJPSHFF.PS.AA.PUBINDLUBINDLOGGND.O J99 F99 H98 A98 D99 N98 B99 I99 G97 
11 11 0	HJJJPSHFF.PSBAADPUBINDLU.INDLOGGN..O J99 F99 H98 A98 N98 B98 I99 G97 
11 11 0	HJJJPSHFF.PS.AADPUBIND.UBINDLOGGN.LO J99 F99 H98 A98 N98 L99 B99 I99 G97 
11 11 0	HJJJPSHFF.PS..AAPUBINDLUBINDLOGGND.O J99 F99 H98 A97 D99 N98 B99 I99 G97 
11 11 0	HJJJPSHFF.PSAA..PUBIND.UBINDLOGGNDLO J99 F99 H98 A99 D99 N98 L99 B99 I99 G97 
11 11 0	HJJJ.SHFF.PSAA.DPUBINDPUBINDLOGGN.LO J99 P99 F99 H98 A99 N98 L99 B99 I99 G97 
11 11 0	HJJJ.SHFF.PSAAN.PUBINDPUBINDLOGG.DLO J99 P99 F99 H98 A99 D99 N99 L99 B99 I99 G97 
11 11 0	H.JJJSHFF.PSAANDPUBINDPUBINDLOGG..LO J98 P99 F99 H98 A99 N99 L99 B99 I99 G97 
11 11 0	H.JJJSHFF.PSAAN.PU.INDPUBINDLOBGGDLO J98 P99 F99 H98 A99 D99 N99 L99 I99 G98 
11 11 0	H.JJJSH.FFPSAANDPUBINDPUBINDLO..GGLO J98 P99 F98 H98 A99 N99 L99 B99 I99 G99 
11 11 0	HJJJ.SH.FFPSAAN.PUBINDPUBINDLO.GGDLO J99 P99 F98 H98 A99 D99 N99 L99 B99 I99 G98 
11 11 0	H.JJJSH.FFPSAANDPUBINDPUBINDLO.GG.LO J98 P99 F98 H98 A99 N99 L99 B99 I99 G98 
11 11 0	.JJJPSH.FFPSHAADPUBINDLUBINDLOGGN..O H97 J99 F98 A98 B99 I99 N98 G97 
11 11 0	HJJJPSH.FFPS.AA.PUBINDLUBINDLOGGND.O J99 F98 H98 A98 D99 N98 B99 I99 G97 
11 11 0	HJJJPSH.FFPSBAADPUBINDLU.INDLOGGN..O J99 F98 H98 A98 N98 B98 I99 G97 
11 11 0	HJJJPSH.FFPS.AADPUBIND.UBINDLOGGN.LO J99 F98 H98 A98 N98 L99 B99 I99 G97 
11 11 0	HJJJPSH.FFPS..AAPUBINDLUBINDLOGGND.O J99 F98 H98 A97 D99 N98 B99 I99 G97 
11 11 0	HJJJPSH.FFPSAA..PUBIND.UBINDLOGGNDLO J99 F98 H98 A99 D99 N98 L99 B99 I99 G97 
11 11 0	HJJJ.SH.FFPSAA.DPUBINDPUBINDLOGGN.LO J99 P99 F98 H98 A99 N98 L99 B99 I99 G97 
11 11 0	HJJJ.SH.FFPSAAN.PUBINDPUBINDLOGG.DLO J99 P99 F98 H98 A99 D99 N99 L99 B99 I99 G97 
11 11 0	H.JJJSH.FFPSAANDPUBINDPUBINDLOGG..LO J98 P99 F98 H98 A99 N99 L99 B99 I99 G97 
11 11 0	H.JJJSH.FFPSAAN.PU.INDPUBINDLOBGGDLO J98 P99 F98 H98 A99 D99 N99 L99 I99 G98 
12 12 0	H.JJJSHFFDPSAANDPUBINDPUBIN.LO..GGLO J98 P99 F99 H98 A99 D99 N99 L99 B99 I99 G99 
12 12 0	H.JJJSHFFDPSAANDPUBINDPUBIN.LO.GG.LO J98 P99 F99 H98 A99 D99 N99 L99 B99 I99 G98 
12 12 0	.JJJPSHFFDPSHAADPUBINDLUBIN.LOGGN..O H97 J99 F99 D99 A98 B99 I99 N98 G97 
12 12 0	HJJJPSHFFDPSBAADPUBINDLU.IN.LOGGN..O J99 F99 H98 A98 D99 N98 B98 I99 G97 
12 12 0	HJJJPSHFFDPS.AADPUBIND.UBIN.LOGGN.LO J99 F99 H98 A98 D99 N98 L99 B99 I99 G97 
