8 4 4	CCDBBBHHDFL.AA.FL....FLYG..UUYG..EE. C99 A99 Y99 D96 
8 2 6	.CCBBB.HHFL..AAFLY...FLYG.D.UUG.DEE. H99 U99 
8 4 4	CC.BBBHH.FL.AA.FL.G..FLYG.DUUY..DEE. C99 A99 Y99 G99 
8 4 4	CCBBB.HH.FL.GAAFL.G..FLY..DUUY..DEE. C99 B99 G98 Y99 
8 4 4	GCCBBBGHHFL..AAFL....FLY..DUUY..D.EE H99 Y99 G96 E99 
8 4 4	CC.BBB.HHFL.AA.FL....FLYG.DUUYG.DEE. C99 H99 A99 Y99 
8 4 4	CCBBB.HH.FL.AA.FL....FLYG.DUUYG.DEE. C99 B99 A99 Y99 
8 4 4	GCCBBBGHHFL..AAFL...DFLY..DUUY...EE. H99 Y99 G96 D99 
8 4 4	GCCBBBGHHFL.AA.FL....FLY..DUUY..DEE. H99 A99 Y99 G96 
8 3 5	.CCBBBHH.FL..AAFLYG.DFLYG.DUU.....EE G99 D99 E99 
8 2 6	CC.BBBHH.FL..AAFLY...FLYG.D.UUG.DEE. C99 U99 
8 4 4	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG.EE.. A99 Y99 D99 E99 
8 4 4	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY...EE. A99 Y99 G99 D99 
8 2 6	.CCBBBHH.FLY.AAFLYG..FL.G.DUU...DEE. Y99 G99 
8 4 4	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG..EE. H99 A99 Y99 D99 
8 4 4	CC.BBBHH.FL.AA.FL...DFLYG.DUUYG..EE. C99 A99 D99 Y99 
8 2 6	CC.BBBHH.FLY.AAFLY...FL.G.DUU.G.DEE. C99 Y99 
8 3 5	CC.BBBHH.FL..AAFLYG.DFLYG.DUU....EE. C99 G99 D99 
9 5 4	CC.BBBHH.FL.AA.FL.G..FLYG.DUUY..D.EE C99 A99 G99 Y99 E99 
9 3 6	.CCBBBHH.FL..AAFLYG..FLYG.D.UU..D.EE G99 U99 E99 
9 5 4	CC.BBB.HHFL..AAFL.G..FLYG.DUUY..D.EE C99 H99 G99 Y99 E99 
9 5 4	CCBBB.HH.FL..AAFL.G..FLYG.DUUY..D.EE C99 B99 G99 Y99 E99 
9 5 4	CCBBBYHH..LY.AAFL....FL.G.DFUUG.DEE. C99 B99 F99 Y98 U99 
9 5 4	CCBBBY.HHFLYGAAFL.G..FL...DUU...DEE. C99 B99 H99 Y98 G98 
9 5 4	CCBBBY.HHFLYAA.FL....FL.G.DUU.G.DEE. C99 B99 H99 A99 Y98 
9 5 4	CCDBBBHHDFL..AAFL....FLYG..UUYG..EE. C99 A98 Y99 D96 
9 5 4	CCBBBY.HHFLY.AAFL.G..FL.G.DUU...DEE. C99 B99 H99 Y98 G99 
9 5 4	CCBBBYHH.FLYAA.FL....FL.G.D.UUG.DEE. C99 B99 A99 Y98 U99 
9 5 4	CCBBBYHH.FLY.AAFL.G..FL.G.D.UU..DEE. C99 B99 Y98 G99 U99 
9 3 6	CC.BBBHH.FL.GAAFLYG..FLY..D.UU..DEE. C99 G98 U99 
9 3 6	.CCBBBHH.FL.AADFLY..DFLYG..UU.GEE... A99 D98 E98 
9 5 4	CCBBBYHH.FLY.AAFL...DFL.G.DUU.G.EE.. C99 B99 Y98 D99 E99 
9 5 4	CCBBBY.HHFLY.AAFL....FL.G.D.UUG.DEE. C99 B99 H99 Y98 U99 
9 4 5	CCDBBBHHDFL.AA.FLYG..FLYG..UU....EE. C99 A99 G99 D96 
9 5 4	CCBBBYHH.FLY.AAFL...DFL.G.D.UUG..EE. C99 B99 Y98 D99 U99 
9 5 4	CCBBBYHH.FLYGAAFL.G.DFL...DUU....EE. C99 B99 Y98 G98 D99 
