0 0 0	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
11 11 0	HJJJ.SH..DPSAA.DPUBINDPUBIN.LOGGN.LO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
11 11 0	H.JJJSH..DPSAANDPUBINDPUBIN.LOGG..LO J98 P99 H98 A99 D99 N99 L99 B99 I99 G97 
11 11 0	H.JJJSH.NDPSAANDPUBINDPUBI..LO..GGLO J98 P99 H98 A99 D99 N98 L99 B99 I99 G99 
11 11 0	H.JJJSH.NDPSAANDPUBINDPUBI..LO.GG.LO J98 P99 H98 A99 D99 N98 L99 B99 I99 G98 
11 11 0	H.JJJSH.NDPSAANDPUBINDPUBI..LOGG..LO J98 P99 H98 A99 D99 N98 L99 B99 I99 G97 
11 11 0	H.JJJSH...PSAAN.PUBINDPUBINDLO.GGDLO J98 P99 H98 A99 D99 N99 L99 B99 I99 G98 
11 11 0	JJJ.PSH...PSHAADPUBINDLUBINDLOGGN..O J98 H97 A98 B99 I99 N98 G97 
11 11 0	.JJJPSH...PSHAA.PUBINDLUBINDLOGGND.O H97 J99 A98 D99 B99 I99 N98 G97 
11 11 0	.JJJPSH...PSHAADPUBIND.UBINDLOGGN.LO H97 J99 A98 B99 I99 N98 L99 G97 
11 11 0	HJJJPSH...PSBAA.PUBINDLU.INDLOGGND.O J99 H98 A98 D99 N98 B98 I99 G97 
11 11 0	HJJJPSH...PS.AA.PUBIND.UBINDLOGGNDLO J99 H98 A98 D99 N98 L99 B99 I99 G97 
11 11 0	HJJJPSH...PSBAADPUBIND.U.INDLOGGN.LO J99 H98 A98 N98 L99 B98 I99 G97 
11 11 0	HJJJ.SH...PS.AADPUBINDPUBINDLOGGN.LO J99 P99 H98 A98 N98 L99 B99 I99 G97 
11 11 0	.JJJPSH...PSH.AAPUBINDLUBINDLOGGND.O H97 J99 A97 B99 I99 N98 D99 G97 
11 11 0	HJJJPSH...PSB.AAPUBINDLU.INDLOGGND.O J99 H98 A97 D99 N98 B98 I99 G97 
11 11 0	HJJJPSH...PS.IAAPUBINDLUB.NDLOGGND.O J99 H98 A97 D99 N98 B99 I98 G97 
11 11 0	HJJJPSHI..PS.IAAPUB.NDLUB.NDLOGGND.O J99 H98 A97 D99 N98 B99 I97 G97 
11 11 0	HJJJPSH...PS..AAPUBIND.UBINDLOGGNDLO J99 H98 A97 D99 N98 L99 B99 I99 G97 
