3 3 0	BB.....CCCUG.AAKUG.FFKUG...K..EEE.TT K98 C99 G99 
3 3 0	BB...G.CCCUG.AAKUG.FFKU....K..EEE.TT K98 C99 G98 
3 3 0	BB.....CCCU..AAKUGFF.KUG...K.GEEE.TT K98 C99 F99 
3 3 0	BB.....CCCU..AAKUG.FFKUG...K.G.EEETT K98 C99 E99 
3 3 0	BB.....CCCU..AAKUG.FFKUG...K.GEEETT. K98 C99 T99 
3 3 0	BB......CCC..AAKUG.FFKUG...KUGEEE.TT K98 C98 U99 
3 3 0	BB.......CCC.AAKUG.FFKUG...KUGEEE.TT K98 C97 U99 
3 3 0	BB....CCC...AA.KUG.FFKUG...KUGEEE.TT K98 U99 A99 
3 3 0	BB....CCC..G.AAKUG.FFKUG...KU.EEE.TT K98 U99 G99 
3 3 0	BB...GCCC..G.AAKUG.FFKU....KU.EEE.TT K98 U99 G98 
3 3 0	BB....CCC....AAKUGFF.KUG...KUGEEE.TT K98 U99 F99 
3 3 0	BB....CCC....AAKUG.FFKUG...KUG.EEETT K98 U99 E99 
3 3 0	BB....CCC....AAKUG.FFKUG...KUGEEETT. K98 U99 T99 
3 3 0	BB..U.CCC.U.AA.KUG.FFK.G...K.GEEE.TT K98 U99 A99 
3 3 0	BB..U.CCC.UG.AAKUG.FFK.G...K..EEE.TT K98 U99 G99 
3 3 0	BB..UGCCC.UG.AAKUG.FFK.....K..EEE.TT K98 U99 G98 
3 3 0	BB..U.CCC.U..AAKUGFF.K.G...K.GEEE.TT K98 U99 F99 
3 3 0	BB..U.CCC.U..AAKUG.FFK.G...K.G.EEETT K98 U99 E99 
3 3 0	BB..U.CCC.U..AAKUG.FFK.G...K.GEEETT. K98 U99 T99 
3 3 0	BB....CCC.UGAA.KUG.FFKUG...K..EEE.TT K98 A99 G99 
3 3 0	BB...GCCC.UGAA.KUG.FFKU....K..EEE.TT K98 A99 G98 
3 3 0	BB....CCC.U.AA.KUGFF.KUG...K.GEEE.TT K98 A99 F99 
3 3 0	BB....CCC.U.AA.KUG.FFKUG...K.G.EEETT K98 A99 E99 
3 3 0	BB....CCC.U.AA.KUG.FFKUG...K.GEEETT. K98 A99 T99 
3 3 0	BB....CCC.UG.AAKUGFF.KUG...K..EEE.TT K98 G99 F99 
3 3 0	BB....CCC.UG.AAKUG.FFKUG...K...EEETT K98 G99 E99 
3 3 0	BB....CCC.UG.AAKUG.FFKUG...K..EEETT. K98 G99 T99 
3 3 0	BB...GCCC.UG.AAKUGFF.KU....K..EEE.TT K98 G98 F99 
3 3 0	BB...GCCC.UG.AAKUG.FFKU....K...EEETT K98 G98 E99 
3 3 0	BB...GCCC.UG.AAKUG.FFKU....K..EEETT. K98 G98 T99 
3 3 0	BB....CCC.U..AAKUGFF.KUG...K.G.EEETT K98 F99 E99 
3 3 0	BB....CCC.U..AAKUGFF.KUG...K.GEEETT. K98 F99 T99 
3 3 0	BB....CCC.U..AAKU..FFKUG...K.GEEETTG K98 G99 T99 
3 3 0	..BB...CCCU..AA.UG.FFKUG...K.GEEEKTT B98 K97 C99 
3 3 0	..BB..CCC....AA.UG.FFKUG...KUGEEEKTT B98 K97 U99 
3 3 0	..BBU.CCC.U..AA.UG.FFK.G...K.GEEEKTT B98 K97 U99 
3 3 0	..BB..CCC.U.AA..UG.FFKUG...K.GEEEKTT B98 K97 A99 
3 3 0	..BB..CCC.U...AAUG.FFKUG...K.GEEEKTT B98 K97 A99 
3 3 0	..BB..CCC.UG.AA.UG.FFKUG...K..EEEKTT B98 K97 G99 
3 3 0	..BB.GCCC.UG.AA.UG.FFKU....K..EEEKTT B98 K97 G98 
3 3 0	..BB..CCC.U..AA.UGFF.KUG...K.GEEEKTT B98 K97 F99 
3 3 0	...BB..CCCU..AA.UG.FFKUG...K.GEEEKTT B97 K97 C99 
3 3 0	...BB.CCC....AA.UG.FFKUG...KUGEEEKTT B97 K97 U99 
3 3 0	...BB.CCC.U.AA..UG.FFKUG...K.GEEEKTT B97 K97 A99 
3 3 0	...BB.CCC.U...AAUG.FFKUG...K.GEEEKTT B97 K97 A99 
3 3 0	...BB.CCC.UG.AA.UG.FFKUG...K..EEEKTT B97 K97 G99 
3 3 0	...BBGCCC.UG.AA.UG.FFKU....K..EEEKTT B97 K97 G98 
3 3 0	...BB.CCC.U..AA.UGFF.KUG...K.GEEEKTT B97 K97 F99 
3 3 0	....BB.CCCU..AA.UG.FFKUG...K.GEEEKTT B96 K97 C99 
3 3 0	....BBCCC....AA.UG.FFKUG...KUGEEEKTT B96 K97 U99 
3 3 0	....BBCCC.U.AA..UG.FFKUG...K.GEEEKTT B96 K97 A99 
3 3 0	....BBCCC.U...AAUG.FFKUG...K.GEEEKTT B96 K97 A99 
3 3 0	....BBCCC.UG.AA.UG.FFKUG...K..EEEKTT B96 K97 G99 
3 3 0	....BBCCC.U..AA.UGFF.KUG...K.GEEEKTT B96 K97 F99 
3 3 0	BB.....CCC...AA.UG.FFKUG...KUGEEEKTT K97 C99 U99 
3 3 0	BB..U..CCCU..AA.UG.FFK.G...K.GEEEKTT K97 C99 U99 
3 3 0	BB.....CCCU.AA..UG.FFKUG...K.GEEEKTT K97 C99 A99 
3 3 0	BB.....CCCU...AAUG.FFKUG...K.GEEEKTT K97 C99 A99 
3 3 0	BB.....CCCUG.AA.UG.FFKUG...K..EEEKTT K97 C99 G99 
3 3 0	BB...G.CCCUG.AA.UG.FFKU....K..EEEKTT K97 C99 G98 
3 3 0	BB.....CCCU..AA.UGFF.KUG...K.GEEEKTT K97 C99 F99 
3 3 0	BB......CCC..AA.UG.FFKUG...KUGEEEKTT K97 C98 U99 
3 3 0	BB.......CCC.AA.UG.FFKUG...KUGEEEKTT K97 C97 U99 
3 3 0	BB....CCC...AA..UG.FFKUG...KUGEEEKTT K97 U99 A99 
3 3 0	BB....CCC.....AAUG.FFKUG...KUGEEEKTT K97 U99 A99 
3 3 0	BB....CCC..G.AA.UG.FFKUG...KU.EEEKTT K97 U99 G99 
3 3 0	BB...GCCC..G.AA.UG.FFKU....KU.EEEKTT K97 U99 G98 
3 3 0	BB....CCC....AA.UGFF.KUG...KUGEEEKTT K97 U99 F99 
3 3 0	BB..U.CCC.U.AA..UG.FFK.G...K.GEEEKTT K97 U99 A99 
3 3 0	BB..U.CCC.U...AAUG.FFK.G...K.GEEEKTT K97 U99 A99 
3 3 0	BB..U.CCC.UG.AA.UG.FFK.G...K..EEEKTT K97 U99 G99 
3 3 0	BB..UGCCC.UG.AA.UG.FFK.....K..EEEKTT K97 U99 G98 
3 3 0	BB..U.CCC.U..AA.UGFF.K.G...K.GEEEKTT K97 U99 F99 
3 3 0	BB....CCC.UGAA..UG.FFKUG...K..EEEKTT K97 A99 G99 
3 3 0	BB...GCCC.UGAA..UG.FFKU....K..EEEKTT K97 A99 G98 
3 3 0	BB....CCC.U.AA..UGFF.KUG...K.GEEEKTT K97 A99 F99 
3 3 0	BB....CCC.UG..AAUG.FFKUG...K..EEEKTT K97 A99 G99 
3 3 0	BB...GCCC.UG..AAUG.FFKU....K..EEEKTT K97 A99 G98 
3 3 0	BB....CCC.U...AAUGFF.KUG...K.GEEEKTT K97 A99 F99 
3 3 0	BB....CCC.UG.AA.UGFF.KUG...K..EEEKTT K97 G99 F99 
